,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,recent_px,intrinsic_value,option_px,extrinsic_value,yield
74,TQQQ210618C00079000,2021-06-10 14:09:00,79.0,29.1,31.3,31.5,0.0,0.0,7.0,150,1.7421887890624999,True,REGULAR,USD,110.1709976196289,31.170997619628906,31.4,0.22900238037109233,0.002078608575023846
75,TQQQ210618C00079500,2021-05-20 14:23:10,79.5,18.87,30.7,31.1,0.0,0.0,2.0,22,1.71484517578125,True,REGULAR,USD,110.1709976196289,30.670997619628906,30.9,0.22900238037109233,0.002078608575023846
76,TQQQ210618C00080000,2021-06-14 19:54:53,80.0,32.0,30.3,30.55,0.0,0.0,59.0,694,1.71875140625,True,REGULAR,USD,110.1709976196289,30.170997619628906,30.425,0.25400238037109446,0.0023055285497917597
77,TQQQ210618C00080500,2021-06-10 15:09:04,80.5,31.4,29.85,30.05,0.0,0.0,2.0,102,1.720704521484375,True,REGULAR,USD,110.1709976196289,29.670997619628906,29.950000000000003,0.2790023803710966,0.002532448524559674
78,TQQQ210618C00081000,2021-05-28 15:12:22,81.0,22.7,29.35,29.55,0.0,0.0,1.0,69,1.69140779296875,True,REGULAR,USD,110.1709976196289,29.170997619628906,29.450000000000003,0.2790023803710966,0.002532448524559674
79,TQQQ210618C00081500,2021-06-01 16:08:18,81.5,20.65,28.8,29.05,0.0,0.0,6.0,83,1.6347674511718748,True,REGULAR,USD,110.1709976196289,28.670997619628906,28.925,0.25400238037109446,0.0023055285497917597
80,TQQQ210618C00082000,2021-06-15 14:33:54,82.0,29.2,28.35,28.55,5.8900013,25.268131,1.0,239,1.6347674511718748,True,REGULAR,USD,110.1709976196289,28.170997619628906,28.450000000000003,0.2790023803710966,0.002532448524559674
81,TQQQ210618C00082500,2021-06-14 18:34:53,82.5,28.65,27.85,28.05,0.25,0.88028175,2.0,282,1.607423837890625,True,REGULAR,USD,110.1709976196289,27.670997619628906,27.950000000000003,0.2790023803710966,0.002532448524559674
82,TQQQ210618C00083000,2021-06-15 16:39:36,83.0,27.9,27.35,27.6,0.10000038,0.3597136,10.0,421,1.60547072265625,True,REGULAR,USD,110.1709976196289,27.170997619628906,27.475,0.30400238037109517,0.002759368499327556
83,TQQQ210618C00083500,2021-06-04 19:25:12,83.5,20.9,26.85,27.05,0.0,0.0,6.0,79,1.5507834960937497,True,REGULAR,USD,110.1709976196289,26.670997619628906,26.950000000000003,0.2790023803710966,0.002532448524559674
84,TQQQ210618C00084000,2021-06-15 16:39:36,84.0,26.92,26.35,26.55,2.0200005,8.112452,10.0,160,1.5234398828124998,True,REGULAR,USD,110.1709976196289,26.170997619628906,26.450000000000003,0.2790023803710966,0.002532448524559674
85,TQQQ210618C00084500,2021-06-14 19:03:23,84.5,27.48,25.85,26.05,1.0799999,4.090909,1.0,645,1.4960962695312499,True,REGULAR,USD,110.1709976196289,25.670997619628906,25.950000000000003,0.2790023803710966,0.002532448524559674
86,TQQQ210618C00085000,2021-06-15 17:21:10,85.0,25.22,25.35,25.6,-1.7800007,-6.5925946,10.0,829,1.4921900390624998,True,REGULAR,USD,110.1709976196289,25.170997619628906,25.475,0.30400238037109517,0.002759368499327556
